thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,station_code,diagnostic_noise
48.1,116.0,1.5,,C3,3.0,0.0,0,Z-DQQ,0.1861
56.2,122.0,-0.8,-1.7,C2,2.0,1.0,1,Z-NWG,1.12695
65.6,137.0,0.2,-2.7,C4,5.0,1.0,0,Z-ADL,1.24268
65.9,164.0,3.4,-0.7,C4,5.0,1.0,0,Z-FSN,0.12751
40.3,83.0,-0.9,-6.1,C2,3.0,0.0,0,Z-AXE,0.54713
42.7,78.0,0.1,-0.1,C4,3.0,1.0,1,Z-UZX,-0.38086
62.0,142.0,4.7,-1.5,C5,4.0,0.0,0,Z-AIJ,
41.7,224.0,4.6,4.0,C1,1.0,0.0,1,Z-HMC,0.23216
39.6,76.0,3.4,-1.0,C2,4.0,0.0,0,Z-YVP,-1.44558
46.3,101.0,4.5,0.5,C2,5.0,0.0,1,Z-SEO,-2.09567
53.5,115.0,2.5,5.7,C3,2.0,0.0,0,Z-RDJ,-1.39214
49.3,90.0,-2.7,0.0,C5,1.0,,1,Z-RJU,0.58469
45.0,78.0,5.0,,C1,1.0,1.0,0,Z-PJQ,0.07931
44.8,61.0,3.3,-2.4,C3,5.0,1.0,0,Z-HCX,-0.11301
44.5,70.0,2.4,3.8,C3,4.0,0.0,0,Z-RHL,1.54568
43.1,138.0,0.8,-7.0,C3,2.0,1.0,0,Z-QKR,0.36095
68.4,124.0,-4.8,0.3,C2,5.0,1.0,0,Z-NUA,-0.33708
52.5,110.0,-2.7,-3.4,C2,5.0,1.0,1,Z-MPN,1.21397
,72.0,0.0,-4.0,C1,5.0,1.0,1,Z-YHA,-0.02123
,163.0,-1.9,-3.3,C1,3.0,1.0,1,Z-ARM,-1.65327
48.7,75.0,3.8,7.5,C1,4.0,0.0,1,Z-VTR,-0.64785
44.4,159.0,0.6,-10.1,C1,1.0,0.0,0,Z-ZZG,-0.57436
28.9,63.0,2.5,4.9,C3,2.0,0.0,0,Z-SOO,0.25508
39.1,58.0,4.2,7.1,C4,3.0,0.0,1,Z-GJI,-0.13601
35.7,86.0,,0.7,C1,1.0,0.0,1,Z-RIE,0.4987
32.2,29.0,6.4,3.7,C3,1.0,0.0,0,Z-JCR,-0.01075
40.6,115.0,-1.1,-2.0,C1,1.0,0.0,1,Z-QLX,-0.29098
60.8,144.0,0.8,2.2,C2,3.0,,0,Z-WWW,-0.35741
,97.0,5.5,0.1,C1,3.0,0.0,1,Z-EZV,-0.19745
60.5,73.0,2.1,0.1,C1,5.0,1.0,1,Z-REY,-0.42638
53.4,84.0,-0.3,-2.3,C4,3.0,0.0,1,Z-TLH,-1.48128
56.4,113.0,2.0,3.1,C2,3.0,0.0,1,Z-EIY,-0.84524
42.9,56.0,6.1,15.1,,4.0,0.0,1,Z-SBZ,0.52714
54.4,79.0,0.3,-4.4,C1,4.0,1.0,1,Z-QDG,-1.15688
56.0,139.0,-1.4,-2.5,C4,2.0,0.0,1,Z-JCF,1.34062
45.5,97.0,-2.3,-6.9,C2,4.0,0.0,0,Z-ASG,0.35218
54.6,111.0,6.2,,C5,5.0,0.0,1,Z-KLF,-0.19596
54.7,122.0,1.2,-5.1,C2,4.0,1.0,1,Z-TWC,-1.61123
45.8,89.0,4.4,-4.3,C2,2.0,0.0,0,Z-SAX,-0.20863
41.2,84.0,1.5,4.8,,4.0,1.0,1,Z-PFX,-0.35382
40.7,97.0,0.6,0.4,C3,4.0,0.0,0,Z-UTH,0.51379
50.9,123.0,,-3.0,C4,2.0,0.0,1,Z-RPO,1.17457
52.8,118.0,3.8,-2.0,C1,4.0,1.0,1,,1.01142
,129.0,5.4,2.8,C2,1.0,0.0,0,Z-OAI,0.71453
50.4,101.0,-1.3,-7.6,C1,2.0,1.0,1,Z-FQK,0.90434
54.7,72.0,-1.0,-2.6,C4,,1.0,1,Z-JRQ,1.77395
55.1,138.0,1.0,0.7,C3,1.0,1.0,0,Z-RGH,0.70668
62.6,115.0,-0.1,-4.0,C1,1.0,1.0,0,Z-RDV,0.62726
-18.9,97.0,-2.7,,C2,5.0,0.0,1,Z-TOT,-0.56346
,106.0,-0.1,-3.8,C2,2.0,0.0,0,Z-LIS,0.10333
63.6,133.0,-1.1,0.9,,1.0,0.0,0,,
45.9,59.0,4.2,2.9,C2,4.0,1.0,1,Z-TOE,-1.69696
58.5,133.0,7.5,-1.8,C1,3.0,1.0,0,Z-MLB,1.94875
50.7,152.0,6.0,6.7,C3,3.0,,0,Z-ALO,-0.14348
46.9,104.0,5.5,5.5,C1,5.0,0.0,1,Z-MAJ,0.68173
35.7,69.0,4.8,3.4,C3,4.0,1.0,1,Z-GUA,-2.22592
48.8,53.0,-2.0,3.6,C2,4.0,1.0,0,Z-KWB,0.12369
37.7,135.0,5.5,3.3,C3,3.0,0.0,1,Z-EAH,-1.14104
57.9,100.0,,-2.7,C2,3.0,0.0,1,Z-IOR,-0.10809
62.3,288.0,4.9,4.7,C1,4.0,,1,Z-NFO,-1.15419
43.8,93.0,4.2,5.8,C4,2.0,0.0,0,Z-LZY,-1.10142
52.6,132.0,3.7,0.7,C4,1.0,0.0,0,Z-QFQ,
44.4,124.0,-3.8,-7.7,C2,3.0,1.0,1,Z-UCW,1.25455
45.1,74.0,2.2,4.5,C3,2.0,0.0,0,Z-FKF,-0.75621
56.4,108.0,-1.3,1.1,C2,2.0,1.0,1,Z-UVQ,-1.1383
49.9,100.0,1.3,4.9,C2,4.0,0.0,1,Z-YWR,-1.56646
64.1,150.0,,-1.8,C1,4.0,1.0,0,Z-HVI,-0.17214
46.3,110.0,-0.3,-8.9,C2,2.0,0.0,0,Z-JZJ,1.5743
,121.0,3.6,,C1,3.0,0.0,0,Z-MPE,-0.11346
50.9,126.0,-1.1,-2.4,C3,2.0,0.0,0,Z-AZB,-0.93153
56.5,74.0,-0.1,3.5,C4,3.0,1.0,1,Z-SYR,-0.15328
46.6,106.0,6.1,8.2,C1,1.0,1.0,0,Z-SEZ,-0.72606
49.8,106.0,5.9,6.1,C3,5.0,1.0,0,Z-NWR,-0.26718
49.2,97.0,2.3,-8.4,C1,1.0,0.0,0,Z-CFO,-0.79024
43.5,82.0,4.2,-1.4,,4.0,0.0,1,Z-FXT,1.40769
55.5,113.0,3.8,0.1,C1,2.0,1.0,1,Z-AHP,2.17998
55.4,94.0,1.6,-1.7,C2,4.0,0.0,1,Z-BZX,-0.39543
54.9,182.0,2.4,1.2,C4,2.0,0.0,0,Z-HPE,-0.9683
62.5,158.0,3.3,7.5,C1,4.0,0.0,0,Z-JMQ,0.20521
61.8,,-1.2,0.6,C5,5.0,1.0,1,Z-MVT,0.10121
47.2,81.0,4.2,-1.8,C2,5.0,,1,Z-AIK,0.98364
53.1,80.0,-1.2,-6.2,C1,5.0,1.0,1,Z-GNB,-0.55854
45.2,86.0,5.1,-1.0,C2,3.0,0.0,1,,-0.19235
50.3,104.0,0.2,-2.0,C3,3.0,1.0,0,Z-IAE,-0.00638
45.4,53.0,0.1,1.9,C2,,0.0,1,Z-UYX,-0.17078
63.1,,5.2,7.1,,5.0,0.0,0,Z-DRV,0.39588
53.1,134.0,4.2,0.5,C1,3.0,0.0,1,Z-UGL,0.48394
,37.0,-6.0,-7.0,C3,2.0,1.0,0,Z-JQT,0.43576
59.7,92.0,2.0,7.2,C2,1.0,1.0,0,Z-MGX,
32.8,104.0,-1.8,-9.5,C5,2.0,0.0,1,Z-UJL,0.54251
34.0,83.0,1.8,2.6,,3.0,0.0,1,Z-QGW,0.19433
56.5,,0.3,0.9,C1,4.0,1.0,1,Z-INE,-1.92639
50.6,121.0,0.2,-2.7,C4,2.0,1.0,1,Z-TMG,0.06288
52.2,88.0,2.4,0.4,C1,2.0,0.0,1,Z-PGM,-0.69655
39.5,76.0,1.6,1.6,C1,1.0,1.0,1,Z-IET,-0.13493
50.0,69.0,-2.4,-5.0,,1.0,0.0,0,Z-FHH,-1.17879
66.2,128.0,5.6,0.6,C1,4.0,0.0,0,Z-QLO,0.78545
56.8,139.0,-1.2,-5.7,C2,2.0,0.0,1,Z-DPJ,0.66389
51.5,90.0,6.7,12.1,C2,5.0,1.0,0,Z-DPA,1.00673
46.6,112.0,2.2,-1.6,C3,1.0,0.0,0,Z-IJE,0.50079
47.0,94.0,-0.3,-1.1,C2,4.0,0.0,1,Z-TIM,0.52027
33.1,101.0,2.4,3.8,C3,1.0,1.0,0,Z-AIX,0.56968
52.2,91.0,6.2,2.9,C5,3.0,0.0,1,Z-LVD,1.24272
56.9,154.0,5.0,2.9,C3,4.0,1.0,0,Z-MDV,0.03559
37.5,98.0,4.5,4.5,C1,2.0,1.0,1,Z-BEZ,0.87534
44.9,,-6.1,-10.5,C3,3.0,1.0,0,Z-SWZ,-1.18336
,92.0,2.6,-5.8,C4,4.0,0.0,0,Z-LIZ,0.79289
42.4,75.0,2.8,-2.2,C2,2.0,1.0,0,Z-KNJ,-0.16695
50.6,,2.1,7.5,C3,3.0,0.0,0,Z-OQQ,1.62944
112.8,79.0,-2.9,-6.6,C2,3.0,0.0,0,Z-FWL,0.51971
55.1,76.0,-4.1,-4.6,C1,4.0,1.0,1,Z-RBE,
56.2,94.0,3.0,-4.6,C3,2.0,,0,Z-IPR,0.44862
48.1,72.0,3.8,7.4,C2,3.0,1.0,0,Z-QID,-0.42426
30.3,82.0,4.7,1.2,C1,5.0,0.0,1,Z-VBX,1.15921
42.2,103.0,4.2,0.2,C2,4.0,1.0,1,Z-GRE,
,151.0,0.9,-1.3,C2,1.0,1.0,0,Z-GAD,-0.11334
27.9,54.0,1.6,10.4,C3,2.0,1.0,0,Z-CQJ,0.00931
47.4,74.0,3.2,3.0,C4,2.0,0.0,1,Z-IED,-1.11958
40.7,45.0,-2.7,-4.6,C3,3.0,1.0,0,Z-CSP,0.11331
,119.0,4.9,-9.5,C5,2.0,1.0,1,Z-RJB,-0.22851
44.8,129.0,5.1,8.6,C1,3.0,0.0,0,Z-OTN,0.08773
53.4,104.0,-4.2,-8.2,,5.0,1.0,1,Z-GEB,1.10645
54.7,109.0,2.2,-3.3,,4.0,0.0,0,Z-ZWU,-1.18705
64.9,125.0,5.3,-0.2,C3,1.0,0.0,0,Z-YJF,-0.08366
48.5,105.0,1.5,5.9,C4,3.0,0.0,0,Z-BMB,1.51622
53.2,,4.2,1.9,C3,4.0,0.0,0,Z-EXH,-0.16085
38.3,132.0,4.0,-4.6,C1,2.0,0.0,1,Z-MOI,-0.36193
59.7,130.0,0.4,-2.1,C3,1.0,1.0,0,Z-AAL,0.21527
44.1,105.0,,-1.5,C1,5.0,0.0,1,Z-GSP,1.21661
45.7,86.0,0.3,0.2,C2,4.0,0.0,1,Z-LBR,0.08947
50.0,97.0,-0.8,,C3,5.0,1.0,0,Z-JWO,1.17363
37.6,76.0,3.9,-4.8,C3,4.0,0.0,0,Z-OST,-1.01036
52.0,94.0,3.2,0.8,C2,4.0,1.0,1,Z-MHX,1.37085
,117.0,7.8,5.0,C3,4.0,1.0,0,Z-OTX,-0.29606
52.5,121.0,3.5,-3.9,C5,3.0,0.0,1,Z-KJW,0.64881
37.4,81.0,4.5,-6.0,C1,2.0,1.0,0,Z-IGU,1.06197
49.2,91.0,-1.6,,C1,1.0,0.0,1,Z-PHW,-0.6418
56.1,114.0,-1.4,-4.0,C1,3.0,1.0,1,Z-UBI,1.99422
35.1,49.0,-2.4,-4.7,C2,,0.0,0,Z-IET,0.24917
41.6,108.0,1.1,2.6,C1,4.0,,1,Z-VIZ,-0.39776
,101.0,-3.4,,C2,3.0,0.0,1,Z-ZGY,1.68387
52.3,73.0,1.2,-0.3,C1,5.0,1.0,1,Z-MSI,0.77509
53.5,118.0,0.7,1.8,C1,2.0,0.0,0,Z-WHJ,2.26631
65.0,139.0,5.8,2.7,C1,3.0,1.0,0,Z-VHD,0.07403
53.9,84.0,5.2,-3.0,C5,2.0,0.0,1,Z-WLZ,-1.26206
55.4,126.0,6.1,0.9,C1,2.0,1.0,1,Z-UNX,0.41673
71.9,154.0,-0.5,-4.0,C1,3.0,0.0,0,Z-YCV,-1.77044
48.4,151.0,6.2,-2.9,C1,1.0,0.0,0,Z-ELX,0.86074
43.8,83.0,4.3,3.8,C5,4.0,0.0,1,Z-TFX,0.09876
53.6,105.0,0.6,-1.1,C2,1.0,1.0,0,Z-DXL,
53.7,90.0,1.2,-3.3,C4,5.0,0.0,1,Z-MZZ,-0.13108
45.9,107.0,-4.0,-0.9,C1,2.0,0.0,1,Z-DQE,-0.92442
41.9,86.0,5.6,1.1,C1,3.0,1.0,1,Z-WDM,-1.85759
68.6,347.0,3.8,8.0,C2,5.0,1.0,0,Z-CII,-0.92591
52.8,93.0,0.5,-2.3,C3,4.0,1.0,0,Z-HDX,-0.85727
44.3,103.0,2.4,-3.6,C4,2.0,0.0,0,Z-UKY,0.10045
57.5,106.0,-1.1,-6.5,C1,2.0,1.0,1,Z-BOC,-0.971
49.3,49.0,-2.1,-3.0,C5,1.0,0.0,1,Z-JDC,1.24751
48.1,114.0,6.6,-0.4,C2,3.0,1.0,1,Z-TXD,2.21051
54.7,61.0,3.8,2.3,C2,4.0,0.0,1,Z-DUS,0.56806
39.8,79.0,3.1,-0.6,,5.0,1.0,1,Z-ZHQ,-0.85838
53.0,,2.9,,C2,2.0,0.0,1,Z-OEA,-0.0255
65.5,126.0,1.4,-0.6,C3,1.0,0.0,0,Z-ELD,-0.00104
53.9,108.0,-0.1,2.5,C2,2.0,0.0,1,Z-HCQ,-0.89137
47.1,96.0,3.0,-1.2,C1,5.0,0.0,1,Z-MWR,-0.29117
46.1,103.0,-0.1,-0.9,C1,5.0,1.0,1,Z-BIV,1.28664
46.9,92.0,5.0,4.6,C5,2.0,0.0,1,Z-MVZ,-0.8171
48.1,167.0,2.6,-4.5,,3.0,0.0,0,Z-KRP,0.90036
47.1,86.0,-2.0,-1.1,C5,4.0,0.0,1,Z-JPZ,-0.24474
57.5,80.0,-0.6,1.3,C3,3.0,0.0,1,Z-VNA,-1.0073
36.3,39.0,0.3,2.8,C3,5.0,0.0,0,Z-WQC,-0.2966
57.1,130.0,-3.4,-9.3,C1,4.0,1.0,1,Z-SAB,0.87765
47.1,52.0,4.0,-2.5,C3,4.0,0.0,0,Z-WDB,-0.10125
53.2,73.0,-0.2,-2.0,C2,3.0,0.0,1,Z-ZPM,-0.60545
41.1,49.0,8.2,5.1,C2,2.0,0.0,1,Z-RJE,-0.2392
60.8,131.0,-0.6,-2.1,C3,2.0,1.0,0,Z-MTT,-1.03197
60.1,153.0,-0.1,-3.2,C1,5.0,,1,Z-QCQ,0.18652
,88.0,3.9,,C2,2.0,1.0,1,Z-ZTD,0.91863
38.0,91.0,-2.4,-14.5,C3,2.0,1.0,0,Z-SIN,1.01942
56.8,40.0,-0.7,0.5,C4,4.0,0.0,1,Z-JFJ,1.81497
53.4,86.0,5.7,9.6,C2,1.0,1.0,1,Z-XFK,0.65173
,95.0,-0.1,-4.1,C2,4.0,0.0,0,Z-MBY,-2.25047
50.0,92.0,-2.3,-2.8,C2,3.0,1.0,1,,0.37782
53.1,132.0,-1.1,4.6,C1,1.0,0.0,0,Z-TJA,
54.6,48.0,2.4,0.6,C1,2.0,1.0,1,Z-LUV,-0.43649
51.6,83.0,4.9,4.0,C4,2.0,1.0,1,Z-LFZ,-0.74611
52.5,117.0,-0.9,,C1,2.0,0.0,0,Z-DVP,0.48431
62.0,132.0,2.8,9.5,C2,2.0,1.0,0,Z-EYE,-0.06834
60.0,131.0,7.9,0.8,C2,5.0,1.0,0,Z-WPZ,-0.49248
27.2,67.0,-0.6,-3.9,C5,5.0,1.0,0,Z-SRE,0.05586
47.6,65.0,-0.0,2.1,C3,2.0,,0,Z-JEG,
48.8,77.0,0.5,1.0,C3,3.0,0.0,0,Z-XHW,-1.00571
36.1,139.0,0.2,1.5,C3,3.0,1.0,1,Z-XMW,0.58956
50.9,68.0,-1.3,-13.9,C1,2.0,0.0,0,Z-JVZ,1.81029
60.2,79.0,7.6,-3.3,C2,5.0,1.0,1,Z-JZD,-0.61732
41.5,104.0,3.5,9.0,C1,1.0,0.0,0,Z-KPT,1.2636
52.9,76.0,,0.2,C2,5.0,1.0,1,Z-ZXG,-0.25812
,317.0,4.7,4.0,C1,,0.0,0,Z-IBA,1.15938
44.8,,5.8,-1.8,C4,3.0,0.0,0,Z-YAJ,-1.24033
62.0,114.0,-1.3,-4.5,C1,5.0,1.0,1,Z-RFE,0.21943
45.8,101.0,1.3,1.9,C1,3.0,,1,Z-XIX,1.14025
53.9,57.0,4.1,-3.9,C2,4.0,0.0,1,Z-MGZ,
35.2,103.0,2.3,-2.5,C1,,1.0,1,,-0.0267
65.1,65.0,5.3,4.6,C1,,0.0,1,Z-FXO,-0.98628
55.0,279.0,4.4,4.7,C5,2.0,0.0,1,,-0.34901
48.7,101.0,2.9,-1.3,C1,3.0,1.0,1,Z-XQU,0.31746
54.8,123.0,-2.1,0.7,C3,2.0,0.0,1,Z-ZKF,
38.9,41.0,-0.4,2.0,C3,3.0,0.0,0,Z-AEV,-0.69584
,102.0,0.4,-8.9,C1,3.0,0.0,1,Z-SWD,0.13304
47.6,51.0,4.1,8.9,C1,1.0,0.0,1,Z-VWO,-0.7937
48.5,89.0,4.8,7.5,C2,4.0,0.0,1,Z-MKM,-0.41481
46.2,72.0,6.1,4.6,C4,2.0,1.0,1,Z-WKG,-0.79851
45.5,75.0,2.0,-0.4,C3,3.0,0.0,0,Z-IFU,0.17479
55.7,127.0,3.8,5.0,,5.0,1.0,0,Z-CZI,-0.85596
52.2,111.0,7.2,7.0,C1,2.0,0.0,0,Z-KGV,-0.99286
55.4,124.0,-1.5,-4.1,C3,3.0,1.0,0,Z-AOW,-1.02167
50.1,97.0,0.2,5.4,C2,5.0,0.0,1,Z-WEU,-1.23885
54.3,127.0,4.6,-6.5,C1,3.0,1.0,1,Z-QAZ,0.34686
46.8,94.0,5.8,0.7,C3,5.0,1.0,0,Z-WZD,0.90576
68.0,117.0,-1.1,-0.6,C5,1.0,0.0,1,Z-PKF,-0.20661
37.6,95.0,4.6,2.2,C4,2.0,1.0,1,Z-CLT,-1.26636
60.3,106.0,0.4,1.7,C3,4.0,0.0,0,Z-ERR,-1.64665
,110.0,1.0,-6.6,C5,,0.0,1,Z-VJE,-0.51995
43.3,118.0,4.5,1.3,C2,2.0,1.0,1,Z-LLU,-0.47673
68.0,157.0,-2.1,1.4,,2.0,0.0,0,Z-KDF,-0.0455
58.1,,4.4,-4.1,C2,4.0,0.0,1,Z-CRE,-0.13641
57.9,137.0,3.9,0.8,C3,4.0,0.0,0,Z-FCF,0.48526
50.4,66.0,3.0,-1.3,C4,3.0,1.0,0,Z-KCO,-0.8708
48.4,90.0,,1.2,C5,5.0,,1,Z-OSS,
48.5,77.0,3.4,3.1,C2,3.0,0.0,1,Z-NAR,-1.08284
53.3,106.0,-2.1,,C2,4.0,0.0,1,Z-MPY,-0.38324
61.4,139.0,4.7,1.3,C1,1.0,0.0,0,Z-XCK,-0.23428
51.6,118.0,1.0,-0.4,C3,5.0,1.0,0,Z-IAS,-0.8449
42.9,99.0,2.9,0.3,C3,,,0,Z-JQJ,-2.19651
,115.0,3.9,1.6,C3,5.0,0.0,0,Z-VLW,1.01546
57.5,109.0,-1.0,3.7,C1,5.0,1.0,1,Z-EFI,3.39021
55.4,142.0,-2.8,-9.1,C2,4.0,0.0,1,Z-EVH,1.07636
56.1,69.0,1.1,0.8,C1,,0.0,1,Z-YVT,-1.85329
48.0,79.0,0.7,-5.0,C2,5.0,1.0,0,Z-GHU,-0.02336
42.7,99.0,3.4,9.7,C1,2.0,1.0,0,,-0.29447
-36.1,130.0,3.7,2.0,C4,5.0,0.0,1,Z-JZT,
37.1,69.0,3.1,-4.2,C4,3.0,1.0,0,Z-DDP,0.08993
52.1,97.0,1.5,-1.3,C3,2.0,0.0,0,Z-OHK,-0.23954
49.5,64.0,5.5,-3.0,C1,2.0,1.0,1,Z-BBC,-0.83205
46.6,80.0,-1.6,-5.7,C2,2.0,0.0,0,Z-GFJ,0.37618
26.5,80.0,5.8,6.1,C1,4.0,0.0,1,,-0.39813
40.2,126.0,-5.6,-0.7,C1,4.0,0.0,1,Z-HPJ,0.24224
59.1,108.0,4.0,6.4,C2,3.0,0.0,0,Z-GSJ,0.35351
44.8,70.0,-2.8,-4.5,C1,3.0,0.0,0,Z-AFF,-0.00073
53.0,107.0,,1.0,C4,2.0,0.0,1,Z-JXX,-0.08405
39.0,38.0,-1.3,0.7,C5,2.0,1.0,0,Z-YRU,-0.37111
61.7,153.0,6.2,13.3,C5,4.0,0.0,0,Z-HJL,-0.10697
49.0,,5.0,0.2,C1,3.0,1.0,1,Z-JVW,-1.39804
52.5,113.0,0.2,5.0,C2,1.0,1.0,0,Z-XAP,-2.21247
68.8,140.0,-0.8,-7.0,C1,4.0,0.0,0,Z-XDI,-0.26387
62.3,138.0,,5.8,C3,5.0,0.0,0,Z-VTP,
47.7,103.0,2.9,,C2,4.0,,1,Z-ZUT,-0.48905
45.4,92.0,4.8,,C2,1.0,0.0,0,Z-RPX,-0.83823
47.6,108.0,6.9,3.2,C1,4.0,1.0,1,Z-IRK,-0.0025
54.2,130.0,5.0,-0.6,C1,1.0,0.0,1,Z-CYR,-1.09346
49.3,147.0,-0.2,0.0,C1,1.0,0.0,1,Z-UKR,-1.07305
47.0,,-2.8,1.1,C1,2.0,0.0,1,Z-UHO,-0.49082
61.9,71.0,4.3,-6.8,C1,3.0,0.0,1,Z-LMK,0.02885
49.2,57.0,7.2,4.0,C4,4.0,0.0,1,Z-KAP,-0.09078
68.6,83.0,1.8,-4.7,C1,4.0,1.0,1,,1.20769
50.9,69.0,4.8,6.4,,2.0,0.0,1,Z-WBP,-0.38979
,89.0,3.5,,,3.0,0.0,0,Z-PGM,-1.54404
53.0,94.0,2.9,0.1,C4,2.0,0.0,1,Z-BXS,-1.09865
,136.0,0.1,-4.5,C2,,0.0,1,Z-SHL,-0.71901
44.4,108.0,,-5.1,C4,2.0,1.0,0,Z-DJY,-0.28727
43.3,72.0,,9.5,C1,2.0,1.0,0,Z-KJR,-1.29738
53.8,92.0,5.8,9.1,C3,5.0,0.0,0,,0.45911
,168.0,4.4,-6.1,C4,2.0,0.0,0,Z-OJS,0.43714
50.5,117.0,5.7,6.2,C2,2.0,1.0,0,Z-VAM,-0.87143
39.9,88.0,-4.4,-10.1,,5.0,0.0,0,Z-QTV,1.09049
39.3,85.0,5.1,0.7,C2,1.0,0.0,1,Z-YQT,-0.20272
38.7,73.0,0.7,-6.3,C3,1.0,0.0,0,,-1.012
36.0,131.0,8.9,-2.3,C4,3.0,1.0,1,Z-TJW,-0.60209
51.0,97.0,-0.3,-2.0,C2,2.0,1.0,1,Z-GQC,-0.76456
59.2,120.0,0.3,,C1,5.0,0.0,0,Z-ITV,0.94546
50.1,56.0,4.0,-2.0,C3,4.0,0.0,0,Z-PZL,-0.67558
32.1,53.0,2.8,4.6,C1,3.0,1.0,1,,1.16168
48.6,83.0,-1.4,1.6,C1,1.0,0.0,1,Z-PZT,0.3375
48.9,111.0,3.3,4.4,C1,2.0,,1,Z-ZGP,-0.09493
66.9,108.0,5.9,,C2,5.0,0.0,0,Z-NRY,0.44676
38.5,82.0,0.7,3.0,C2,2.0,0.0,1,Z-EPD,-0.26216
47.0,244.0,0.5,6.5,C3,1.0,0.0,0,Z-RDX,-0.46505
63.8,94.0,2.2,-4.5,C1,2.0,0.0,1,Z-VKB,-1.31009
53.8,281.0,3.4,4.5,C2,4.0,1.0,1,Z-JEL,0.90425
,103.0,2.3,6.8,C3,5.0,0.0,0,Z-MRD,2.42951
51.1,105.0,0.4,-4.6,C2,2.0,1.0,0,Z-IIQ,-1.04272
52.8,100.0,5.2,-11.8,C3,2.0,1.0,0,Z-IGT,-0.00905
56.4,88.0,4.7,-2.8,C4,4.0,1.0,1,Z-ACW,1.78613
43.7,86.0,3.4,-1.7,C1,2.0,0.0,0,Z-KHB,1.92436
57.2,104.0,-2.0,-1.0,C4,2.0,1.0,1,Z-ARB,1.61051
39.2,54.0,4.0,-0.5,C4,2.0,0.0,0,Z-CEF,-0.07363
52.8,107.0,5.9,3.6,C2,2.0,0.0,0,Z-EUA,1.36618
51.6,152.0,-2.2,,C4,1.0,0.0,1,,0.08235
45.2,88.0,-4.7,-6.3,C2,4.0,1.0,0,Z-PRN,-1.00658
50.0,,0.6,,C4,2.0,0.0,1,Z-WKK,0.33154
,132.0,0.8,-3.6,C3,2.0,0.0,0,Z-EVC,0.45368
41.6,120.0,4.9,6.1,C5,3.0,0.0,1,Z-LPA,1.50363
47.3,,7.3,10.7,C1,,0.0,0,Z-WQM,-0.55174
41.3,84.0,-1.3,-7.6,C3,3.0,0.0,0,Z-RPY,-0.86237
52.7,84.0,4.3,3.1,C1,2.0,1.0,1,Z-HSO,0.36487
41.0,,1.4,-6.5,C5,1.0,1.0,0,Z-IEW,0.61063
55.9,141.0,5.4,-4.3,C1,3.0,1.0,1,Z-VVB,1.7024
40.7,,-3.4,-0.2,,3.0,1.0,1,Z-MKA,0.38049
45.6,68.0,7.6,13.6,C4,2.0,0.0,0,Z-WPX,-0.48201
45.2,24.0,4.4,0.8,C2,3.0,0.0,0,Z-ULP,0.04745
60.8,118.0,4.7,10.3,C3,4.0,0.0,0,Z-VFF,2.91027
,80.0,5.2,0.2,C2,1.0,1.0,1,Z-QFY,-1.90348
48.5,78.0,-0.2,-2.8,C2,4.0,0.0,1,Z-HPI,-0.01551
54.2,101.0,6.5,11.2,C4,3.0,0.0,0,Z-KQC,1.72975
33.3,83.0,3.6,-2.4,,2.0,0.0,0,Z-SZN,0.17544
49.8,79.0,-0.7,1.7,C2,4.0,0.0,1,Z-LIM,-0.88073
66.1,131.0,4.6,1.0,C3,4.0,0.0,0,,-0.56625
-28.1,99.0,1.6,-3.2,C2,4.0,1.0,1,Z-ZCJ,0.8067
50.7,39.0,3.1,-1.1,C5,3.0,0.0,1,Z-QCA,-0.95281
54.5,122.0,,-7.4,C3,3.0,1.0,0,Z-ARZ,
,100.0,-2.9,1.2,C2,3.0,1.0,1,Z-QQL,0.05855
34.2,39.0,0.2,-0.5,C2,2.0,1.0,0,Z-KEB,
36.7,58.0,2.7,0.1,C1,1.0,0.0,0,Z-MWU,0.81498
51.8,109.0,6.3,0.9,C5,5.0,0.0,1,Z-DJB,0.83474
44.4,92.0,5.4,4.4,C1,1.0,0.0,1,Z-BUU,0.27485
60.7,135.0,-2.3,0.1,C1,3.0,1.0,0,Z-CUL,0.74958
47.6,108.0,3.7,0.5,C2,2.0,0.0,0,Z-CDF,-0.05014
34.7,43.0,4.9,6.8,C3,4.0,0.0,1,Z-BDM,-0.88325
40.0,4.0,5.3,4.2,C3,3.0,0.0,0,Z-CTE,-0.09157
28.1,67.0,2.2,-0.1,C1,2.0,0.0,0,Z-TOK,0.58122
48.3,114.0,4.9,6.6,C1,2.0,0.0,0,,0.96244
48.7,92.0,2.9,-1.2,C1,2.0,0.0,0,Z-LPP,1.86717
46.8,112.0,-1.4,-8.1,C3,3.0,0.0,0,Z-LSK,-0.33103
58.8,88.0,,2.2,,3.0,1.0,1,Z-OHH,-0.99282
,107.0,,-2.3,C4,4.0,1.0,1,,-0.99459
48.8,73.0,-0.0,-2.6,C2,2.0,0.0,0,Z-HCT,
33.1,90.0,-0.2,3.3,C2,4.0,1.0,1,Z-ELU,-1.98928
55.1,84.0,-0.9,-0.3,C2,2.0,0.0,1,Z-KKL,-1.39716
-24.7,163.0,2.9,0.5,C4,5.0,0.0,0,Z-DEI,0.24803
52.6,91.0,-0.3,-1.9,C3,1.0,1.0,0,Z-LGZ,0.29591
